Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8124543111076912,0.6465778644141218,0.8124543111076912,0.6807728405836955
Gaussian Naive Bayes,0.8276134046400677,0.6579777365491651,0.8276134046400677,0.6958797198185049
Random Forest Classifier,0.7587818860374744,0.6551771871539314,0.7587818860374744,0.6872299859324902
Balanced Random Forest Classifier,0.8244777038205533,0.6316109801963201,0.8244777038205533,0.6564229814850162
Support Vector Classifier,0.788676849678735,0.6477084809827546,0.788676849678735,0.6819903064515098
