Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.6442037628409834,0.706205985915493,0.6442037628409834,0.6680179315484592
Gaussian Naive Bayes,0.8217075141395098,0.6805198730542542,0.8217075141395098,0.721608122492426
Random Forest Classifier,0.691066138278635,0.7029921517331589,0.691066138278635,0.6967865317730061
Balanced Random Forest Classifier,0.8244777038205533,0.6316109801963201,0.8244777038205533,0.6564229814850162
Support Vector Classifier,0.6858527951983379,0.7318899716768278,0.6858527951983379,0.7055811571940604
