Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8273331190399658,0.6253761969904241,0.8273331190399658,0.6367149043950102
Gaussian Naive Bayes,0.8412086145933784,0.6461875105201145,0.8412086145933784,0.6741202270910619
Random Forest Classifier,0.7954034072645452,0.6184346182484678,0.7954034072645452,0.6320955585919206
Balanced Random Forest Classifier,0.7915996999892854,0.5974760921214437,0.7915996999892854,0.5721348884381339
Support Vector Classifier,0.8114218364941606,0.6062330194081312,0.8114218364941606,0.5898370741711291
