Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7733333333333333,0.6290167328155698,0.8494589092467588,0.6366486178398404
Gaussian Naive Bayes,0.8066666666666666,0.6384197172888728,0.840994321225758,0.6600965013381259
Random Forest Classifier,0.8366666666666667,0.6433684210526316,0.8040287153112611,0.673739346590909
Balanced Random Forest Classifier,0.7116666666666667,0.603587962962963,0.8068681024322297,0.5833182798029795
Support Vector Classifier,0.7316666666666667,0.6101455733808675,0.8177970641808636,0.5991285403050108
