Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9283333333333333,0.8097672223969802,0.6406835958427086,0.6864022559589649
Gaussian Naive Bayes,0.8866666666666667,0.6914805624483044,0.8224579449266045,0.7316919191919191
Random Forest Classifier,0.9083333333333333,0.7011850572908491,0.6831136826315225,0.6915628417343516
Balanced Random Forest Classifier,0.7116666666666667,0.603587962962963,0.8068681024322297,0.5833182798029795
Support Vector Classifier,0.9233333333333333,0.8271338169470597,0.5756991321118612,0.6088213617552016
