Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8398692810457516,0.6311177248677249,0.8398692810457516,0.6453157946182955
Gaussian Naive Bayes,0.8295831993999786,0.6405336257309941,0.8295831993999786,0.6662839647914275
Random Forest Classifier,0.8015107682417228,0.6503633513821602,0.8015107682417228,0.683498443577511
Balanced Random Forest Classifier,0.8068681024322297,0.603587962962963,0.8068681024322297,0.5833182798029795
Support Vector Classifier,0.8241722918675667,0.6143265609451953,0.8241722918675667,0.6086337760910816
