Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8310184294563503,0.6503083561907091,0.8310184294563503,0.6853953531728461
Gaussian Naive Bayes,0.8283059520603285,0.6463234789766101,0.8283059520603285,0.6797502281349181
Random Forest Classifier,0.7802700934939018,0.68935041979673,0.7802700934939018,0.7222222222222222
Balanced Random Forest Classifier,0.8609133930976107,0.6478851034982895,0.8609133930976107,0.6790482711400205
Support Vector Classifier,0.8106459928436767,0.6438087774294671,0.8106459928436767,0.6769823286852708
