Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.6752144973259975,0.7242907801418439,0.6752144973259975,0.6958289739081662
Gaussian Naive Bayes,0.8312300411680966,0.6644068443969139,0.8312300411680966,0.7041032267730397
Random Forest Classifier,0.6901619791466277,0.6978978978978979,0.6901619791466277,0.6939256003767069
Balanced Random Forest Classifier,0.8609133930976107,0.6478851034982895,0.8609133930976107,0.6790482711400205
Support Vector Classifier,0.6752144973259975,0.7242907801418439,0.6752144973259975,0.6958289739081662
