Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.6406835958427086,0.8097672223969802,0.6406835958427086,0.6864022559589649
Gaussian Naive Bayes,0.8224579449266045,0.6914805624483044,0.8224579449266045,0.7316919191919191
Random Forest Classifier,0.6840244294439086,0.7063063063063063,0.6840244294439086,0.6942934782608696
Balanced Random Forest Classifier,0.8068681024322297,0.603587962962963,0.8068681024322297,0.5833182798029795
Support Vector Classifier,0.5756991321118612,0.8271338169470597,0.5756991321118612,0.6088213617552015
