Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8299026586125966,0.6380512308608781,0.8299026586125966,0.6666666666666667
Gaussian Naive Bayes,0.821976838136278,0.6377326815780379,0.821976838136278,0.6670809659090909
Random Forest Classifier,0.795217575314532,0.6806431867407476,0.795217575314532,0.7177165439819339
Balanced Random Forest Classifier,0.8609133930976107,0.6478851034982895,0.8609133930976107,0.6790482711400205
Support Vector Classifier,0.8344234542726328,0.6438691737288136,0.8344234542726328,0.6755400696864111
