Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8407800278581379,0.6319508788427763,0.8407800278581379,0.6468543881612138
Gaussian Naive Bayes,0.8295831993999786,0.6405336257309941,0.8295831993999786,0.6662839647914275
Random Forest Classifier,0.7862423657987785,0.6382787832778343,0.7862423657987785,0.667450909419962
Balanced Random Forest Classifier,0.8068681024322297,0.603587962962963,0.8068681024322297,0.5833182798029795
Support Vector Classifier,0.8223507982427943,0.6131029210892367,0.8223507982427943,0.6058947368421053
