Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8533333333333334,0.653076392206827,0.8328267477203647,0.6892362746021282
Gaussian Naive Bayes,0.8466666666666667,0.6476302213633776,0.8292101111923358,0.6816168327796235
Random Forest Classifier,0.8833333333333333,0.6589810248062392,0.751760224693163,0.6896337678460583
Balanced Random Forest Classifier,0.8333333333333334,0.6478851034982895,0.8609133930976107,0.6790482711400205
Support Vector Classifier,0.8466666666666667,0.6424589902850772,0.8097418337116694,0.6751106507204068
