Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8326151360086184,0.6414893617021277,0.8326151360086184,0.6719518862766539
Gaussian Naive Bayes,0.8246893155322996,0.6412999799075748,0.8246893155322996,0.672428252218989
Random Forest Classifier,0.8022392366588434,0.6760099482422531,0.8022392366588434,0.7143737223824591
Balanced Random Forest Classifier,0.8244777038205533,0.6316109801963201,0.8244777038205533,0.6564229814850162
Support Vector Classifier,0.8070293563156477,0.6385416666666667,0.8070293563156477,0.6695862872512477
