Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.6308796742740812,0.8013816925734024,0.6308796742740812,0.6749408983451537
Gaussian Naive Bayes,0.7941712204007285,0.7045268307218594,0.7941712204007285,0.7376399253731343
Random Forest Classifier,0.6936140576449159,0.6724456037663825,0.6936140576449159,0.6821365803614226
Balanced Random Forest Classifier,0.7915996999892854,0.5974760921214437,0.7915996999892854,0.5721348884381339
Support Vector Classifier,0.5943962284367299,0.8221599219892735,0.5943962284367299,0.6340223652998983
