Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8282438658523519,0.6261755378300087,0.8282438658523519,0.6382189239332097
Gaussian Naive Bayes,0.8323154398371371,0.643767672553655,0.8323154398371371,0.6713789682539683
Random Forest Classifier,0.7809921782920819,0.6410578216046616,0.7809921782920819,0.6714129244249726
Balanced Random Forest Classifier,0.7915996999892854,0.5974760921214437,0.7915996999892854,0.5721348884381339
Support Vector Classifier,0.8132433301189328,0.6073251018734933,0.8132433301189328,0.5924713584288053
