Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8332797599914282,0.6208258341857544,0.8332797599914282,0.6226349167525638
Gaussian Naive Bayes,0.8284581592199722,0.6322267113341289,0.8284581592199722,0.6510545905707196
Random Forest Classifier,0.7908496732026145,0.6143252235683901,0.7908496732026145,0.6246516653712726
Balanced Random Forest Classifier,0.7915996999892854,0.5974760921214437,0.7915996999892854,0.5721348884381339
Support Vector Classifier,0.7941176470588235,0.5967685076380729,0.7941176470588235,0.5655187636259433
