Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8221884498480243,0.6491521801082929,0.8221884498480243,0.6840816181647154
Gaussian Naive Bayes,0.8294217229040821,0.66113369467028,0.8294217229040821,0.6999536965581108
Random Forest Classifier,0.8013350775268362,0.673828125,0.8013350775268362,0.7120500782472614
Balanced Random Forest Classifier,0.8244777038205533,0.6316109801963201,0.8244777038205533,0.6564229814850162
Support Vector Classifier,0.781443576622677,0.6357142857142857,0.781443576622677,0.6665669217287222
