student_code,status,brand_code,code,curriculum_id,semester,campus_code,term_id,term_name
PH22193,HDI,MOB_MOBILE,MOB_MOBILE,210,1,ph,47,Fall 2021
PH22193,HDI,MOB_MOBILE,MOB_MOBILE,210,2,ph,48,Spring 2022
PH22193,HDI,MOB_MOBILE,MOB_MOBILE,210,3,ph,49,Summer 2022
PH22195,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22195,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22195,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22198,HDI,WEB_BACK,WEB,213,1,ph,47,Fall 2021
PH22198,HDI,WEB_BACK,WEB,213,2,ph,48,Spring 2022
PH22198,HDI,WEB_BACK,WEB,213,3,ph,49,Summer 2022
PH22205,HDI,MOB_MOBILE,MOB_MOBILE,210,1,ph,47,Fall 2021
PH22205,HDI,MOB_MOBILE,MOB_MOBILE,210,2,ph,48,Spring 2022
PH22205,HDI,MOB_MOBILE,MOB_MOBILE,210,3,ph,49,Summer 2022
PH22211,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22211,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22211,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22223,HDI,WEB_FRONT,WEB,219,1,ph,47,Fall 2021
PH22223,HDI,WEB_FRONT,WEB,219,2,ph,48,Spring 2022
PH22223,HDI,WEB_FRONT,WEB,219,3,ph,49,Summer 2022
PH22231,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22231,TN1,UD_JAVA,UD,209,1,ph,48,Spring 2022
PH22231,HDI,UD_JAVA,UD_JAVA,209,2,ph,49,Summer 2022
PH22231,HDI,UD_JAVA,UD_JAVA,209,3,ph,50,Fall 2022
PH22235,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22235,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22235,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22237,HDI,MOB_MOBILE,MOB_MOBILE,210,1,ph,47,Fall 2021
PH22237,TN1,MOB_MOBILE,MOB_MOBILE,210,1,ph,48,Spring 2022
PH22237,HDI,MOB_MOBILE,MOB_MOBILE,210,2,ph,49,Summer 2022
PH22237,HDI,MOB_MOBILE,MOB_MOBILE,210,3,ph,50,Fall 2022
PH22237,THO,MOB_MOBILE,MOB_MOBILE,210,3,ph,51,Spring 2023
PH22238,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22238,TN1,UD_JAVA,UD,209,1,ph,48,Spring 2022
PH22238,HDI,UD_JAVA,UD_JAVA,209,2,ph,49,Summer 2022
PH22238,HDI,UD_JAVA,UD_JAVA,209,3,ph,50,Fall 2022
PH22239,HDI,MOB_MOBILE,MOB_MOBILE,210,1,ph,47,Fall 2021
PH22239,HDI,MOB_MOBILE,MOB_MOBILE,210,2,ph,48,Spring 2022
PH22239,HDI,MOB_MOBILE,MOB_MOBILE,210,3,ph,49,Summer 2022
PH22256,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22256,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22256,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22258,HDI,WEB_BACK,WEB,213,1,ph,47,Fall 2021
PH22258,HDI,WEB_BACK,WEB,213,2,ph,48,Spring 2022
PH22258,HDI,WEB_BACK,WEB,213,3,ph,49,Summer 2022
PH22264,HDI,MOB_MOBILE,MOB_MOBILE,210,1,ph,47,Fall 2021
PH22264,HDI,MOB_MOBILE,MOB_MOBILE,210,2,ph,48,Spring 2022
PH22264,HDI,MOB_MOBILE,MOB_MOBILE,210,3,ph,49,Summer 2022
PH22266,HDI,WEB_BACK,WEB,213,1,ph,47,Fall 2021
PH22266,HDI,WEB_BACK,WEB,213,2,ph,48,Spring 2022
PH22266,TN1,WEB_BACK,WEB,213,2,ph,49,Summer 2022
PH22266,HDI,WEB_BACK,WEB_BACK,213,3,ph,50,Fall 2022
PH22272,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22272,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22272,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22273,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22273,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22273,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22276,HDI,MOB_MOBILE,MOB_MOBILE,210,1,ph,47,Fall 2021
PH22276,HDI,MOB_MOBILE,MOB_MOBILE,210,2,ph,48,Spring 2022
PH22276,HDI,MOB_MOBILE,MOB_MOBILE,210,3,ph,49,Summer 2022
PH22276,THO,MOB_MOBILE,MOB_MOBILE,210,3,ph,50,Fall 2022
PH22286,HDI,MOB_MOBILE,MOB_MOBILE,210,1,ph,47,Fall 2021
PH22286,HDI,MOB_MOBILE,MOB_MOBILE,210,2,ph,48,Spring 2022
PH22286,HDI,MOB_MOBILE,MOB_MOBILE,210,3,ph,49,Summer 2022
PH22289,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22289,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22289,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22292,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22292,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22292,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22292,THO,UD_JAVA,UD_JAVA,209,3,ph,50,Fall 2022
PH22300,HDI,UD_NET,UD,220,1,ph,47,Fall 2021
PH22300,HDI,UD_NET,UD,220,2,ph,48,Spring 2022
PH22300,HDI,UD_NET,UD,220,3,ph,49,Summer 2022
PH22301,HDI,WEB_BACK,WEB,213,1,ph,47,Fall 2021
PH22301,HDI,WEB_BACK,WEB,213,2,ph,48,Spring 2022
PH22301,HDI,WEB_BACK,WEB,213,3,ph,49,Summer 2022
PH22305,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22305,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22305,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22306,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22306,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22306,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22307,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22307,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22307,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22312,HDI,WEB_BACK,WEB,213,1,ph,47,Fall 2021
PH22312,HDI,WEB_BACK,WEB,213,2,ph,48,Spring 2022
PH22312,HDI,WEB_BACK,WEB,213,3,ph,49,Summer 2022
PH22312,THO,WEB_BACK,WEB_BACK,213,3,ph,50,Fall 2022
PH22313,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22313,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22313,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22315,HDI,MOB_MOBILE,MOB_MOBILE,210,1,ph,47,Fall 2021
PH22315,HDI,MOB_MOBILE,MOB_MOBILE,210,2,ph,48,Spring 2022
PH22315,HDI,MOB_MOBILE,MOB_MOBILE,210,3,ph,49,Summer 2022
PH22315,TN1,MOB_MOBILE,MOB_MOBILE,210,3,ph,50,Fall 2022
PH22315,THO,MOB_MOBILE,MOB_MOBILE,210,3,ph,51,Spring 2023
PH22316,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22316,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22316,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22320,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22320,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22320,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22320,THO,UD_JAVA,UD_JAVA,209,3,ph,50,Fall 2022
PH22323,HDI,UD_JAVA,UD,209,1,ph,47,Fall 2021
PH22323,HDI,UD_JAVA,UD,209,2,ph,48,Spring 2022
PH22323,HDI,UD_JAVA,UD_JAVA,209,3,ph,49,Summer 2022
PH22323,THO,UD_JAVA,UD_JAVA,209,3,ph,50,Fall 2022
