student_code,status,brand_code,code,curriculum_id,semester,campus_code,term_id,term_name
PH12801,HDI,UD_JAVA,UD,209,1,ph,38,Spring 2020
PH12801,HDI,UD_JAVA,UD,209,2,ph,43,Summer 2020
PH12801,HDI,UD_JAVA,UD,209,3,ph,44,Fall 2020
PH12803,HDI,WEB_FRONT,WEB,219,1,ph,38,Spring 2020
PH12803,HDI,WEB_FRONT,WEB,219,2,ph,43,Summer 2020
PH12803,HDI,WEB_FRONT,WEB,219,3,ph,44,Fall 2020
PH12804,HDI,WEB_FRONT,WEB,219,1,ph,38,Spring 2020
PH12804,HDI,WEB_FRONT,WEB,219,2,ph,43,Summer 2020
PH12804,HDI,WEB_FRONT,WEB,219,3,ph,44,Fall 2020
PH12806,HDI,UD_JAVA,WEB,209,1,ph,38,Spring 2020
PH12806,HDI,UD_JAVA,WEB,209,2,ph,43,Summer 2020
PH12806,HDI,UD_JAVA,UD,209,3,ph,44,Fall 2020
PH12816,HDI,WEB_BACK,WEB,213,1,ph,38,Spring 2020
PH12816,HDI,WEB_BACK,WEB,213,2,ph,43,Summer 2020
PH12816,HDI,WEB_BACK,WEB,213,3,ph,44,Fall 2020
PH12819,HDI,MOB_IOT,MOB_MOBILE,217,1,ph,38,Spring 2020
PH12819,HDI,MOB_IOT,MOB_MOBILE,217,2,ph,43,Summer 2020
PH12819,HDI,MOB_IOT,MOB_MOBILE,217,3,ph,44,Fall 2020
PH12823,HDI,UD_JAVA,MOB_MOBILE,209,1,ph,38,Spring 2020
PH12823,HDI,UD_JAVA,MOB_MOBILE,209,2,ph,43,Summer 2020
PH12823,HDI,UD_JAVA,UD,209,3,ph,44,Fall 2020
PH12824,HDI,WEB_BACK,WEB,213,1,ph,38,Spring 2020
PH12824,HDI,WEB_BACK,WEB,213,2,ph,43,Summer 2020
PH12824,HDI,WEB_BACK,WEB,213,3,ph,44,Fall 2020
PH12824,TN1,WEB_BACK,WEB,213,3,ph,45,Spring 2021
PH12824,TN1,WEB_BACK,WEB,213,3,ph,46,Summer 2021
PH12824,THO,WEB_BACK,WEB,213,3,ph,47,Fall 2021
PH12845,HDI,UD_JAVA,UD,209,1,ph,38,Spring 2020
PH12845,HDI,UD_JAVA,UD,209,2,ph,43,Summer 2020
PH12845,HDI,UD_JAVA,UD,209,3,ph,44,Fall 2020
PH12846,HDI,UD_JAVA,UD,209,1,ph,38,Spring 2020
PH12846,HDI,UD_JAVA,UD,209,2,ph,43,Summer 2020
PH12846,HDI,UD_JAVA,UD,209,3,ph,44,Fall 2020
PH12846,TN2,UD_JAVA,UD,209,3,ph,45,Spring 2021
PH12855,HDI,WEB_BACK,WEB,213,1,ph,38,Spring 2020
PH12855,HDI,WEB_BACK,WEB,213,2,ph,43,Summer 2020
PH12855,HDI,WEB_BACK,WEB,213,3,ph,44,Fall 2020
PH12856,HDI,UD_JAVA,UD,209,1,ph,38,Spring 2020
PH12856,HDI,UD_JAVA,UD,209,2,ph,43,Summer 2020
PH12856,HDI,UD_JAVA,UD,209,3,ph,44,Fall 2020
PH12856,TN2,UD_JAVA,UD,209,3,ph,45,Spring 2021
PH12861,HDI,UD_JAVA,UD,209,1,ph,38,Spring 2020
PH12861,HDI,UD_JAVA,UD,209,2,ph,43,Summer 2020
PH12861,HDI,UD_JAVA,UD,209,3,ph,44,Fall 2020
PH12867,HDI,MOB_MOBILE,MOB_MOBILE,210,1,ph,38,Spring 2020
PH12867,HDI,MOB_MOBILE,MOB_MOBILE,210,2,ph,43,Summer 2020
PH12867,HDI,MOB_MOBILE,MOB_MOBILE,210,3,ph,44,Fall 2020
PH12869,HDI,UD_JAVA,MOB_MOBILE,209,1,ph,38,Spring 2020
PH12869,HDI,UD_JAVA,MOB_MOBILE,209,2,ph,43,Summer 2020
PH12869,HDI,UD_JAVA,MOB_MOBILE,209,3,ph,44,Fall 2020
PH12869,TN1,UD_JAVA,MOB_MOBILE,209,3,ph,45,Spring 2021
PH12869,TN1,UD_JAVA,MOB_MOBILE,209,3,ph,46,Summer 2021
PH12869,HDI,UD_JAVA,UD,209,3,ph,47,Fall 2021
PH12873,HDI,UD_JAVA,UD,209,1,ph,38,Spring 2020
PH12873,HDI,UD_JAVA,UD,209,2,ph,43,Summer 2020
PH12873,HDI,UD_JAVA,UD,209,3,ph,44,Fall 2020
PH12873,TN1,UD_JAVA,UD,209,3,ph,45,Spring 2021
PH12873,TN2,UD_JAVA,UD,209,3,ph,46,Summer 2021
PH12882,HDI,WEB_BACK,WEB,213,1,ph,38,Spring 2020
PH12882,HDI,WEB_BACK,WEB,213,2,ph,43,Summer 2020
PH12882,HDI,WEB_BACK,WEB,213,3,ph,44,Fall 2020
PH12886,HDI,WEB_FRONT,WEB,219,1,ph,38,Spring 2020
PH12886,HDI,WEB_FRONT,WEB,219,2,ph,43,Summer 2020
PH12886,HDI,WEB_FRONT,WEB,219,3,ph,44,Fall 2020
PH12889,HDI,UD_JAVA,UD,209,1,ph,38,Spring 2020
PH12889,HDI,UD_JAVA,UD,209,2,ph,43,Summer 2020
PH12889,HDI,UD_JAVA,UD,209,3,ph,44,Fall 2020
PH12890,HDI,WEB_FRONT,WEB,219,1,ph,38,Spring 2020
PH12890,HDI,WEB_FRONT,WEB,219,2,ph,43,Summer 2020
PH12890,HDI,WEB_FRONT,WEB,219,3,ph,44,Fall 2020
PH12897,HDI,MOB_MOBILE,MOB_MOBILE,210,1,ph,38,Spring 2020
PH12897,HDI,MOB_MOBILE,MOB_MOBILE,210,2,ph,43,Summer 2020
PH12897,HDI,MOB_MOBILE,MOB_MOBILE,210,3,ph,44,Fall 2020
PH12909,HDI,UD_JAVA,UD,209,1,ph,38,Spring 2020
PH12909,HDI,UD_JAVA,UD,209,2,ph,43,Summer 2020
PH12909,HDI,UD_JAVA,UD,209,3,ph,44,Fall 2020
PH12911,HDI,UD_JAVA,UD,209,1,ph,43,Summer 2020
PH12911,HDI,UD_JAVA,UD,209,2,ph,44,Fall 2020
PH12911,HDI,UD_JAVA,UD,209,3,ph,45,Spring 2021
PH12915,HDI,UD_JAVA,UD,209,1,ph,43,Summer 2020
PH12915,HDI,UD_JAVA,UD,209,2,ph,44,Fall 2020
PH12915,HDI,UD_JAVA,UD,209,3,ph,45,Spring 2021
PH12917,HDI,MOB_MOBILE,MOB_MOBILE,210,1,ph,43,Summer 2020
PH12917,HDI,MOB_MOBILE,MOB_MOBILE,210,2,ph,44,Fall 2020
PH12917,HDI,MOB_MOBILE,MOB_MOBILE,210,3,ph,45,Spring 2021
PH12921,HDI,WEB_FRONT,UD,219,1,ph,43,Summer 2020
PH12921,HDI,WEB_FRONT,UD,219,2,ph,44,Fall 2020
PH12921,HDI,WEB_FRONT,WEB,219,3,ph,45,Spring 2021
PH12932,HDI,UD_JAVA,UD,209,1,ph,43,Summer 2020
PH12932,HDI,UD_JAVA,UD,209,2,ph,44,Fall 2020
PH12932,HDI,UD_JAVA,UD,209,3,ph,45,Spring 2021
PH12933,HDI,MOB_IOT,MOB_MOBILE,217,1,ph,43,Summer 2020
PH12933,HDI,MOB_IOT,MOB_MOBILE,217,2,ph,44,Fall 2020
PH12933,HDI,MOB_IOT,MOB_MOBILE,217,3,ph,45,Spring 2021
PH12934,HDI,WEB_FRONT,WEB,219,1,ph,43,Summer 2020
PH12934,HDI,WEB_FRONT,WEB,219,2,ph,44,Fall 2020
PH12934,HDI,WEB_FRONT,WEB,219,3,ph,45,Spring 2021
PH12936,HDI,UD_JAVA,UD,209,1,ph,43,Summer 2020
PH12936,HDI,UD_JAVA,UD,209,2,ph,44,Fall 2020
PH12936,HDI,UD_JAVA,UD,209,3,ph,45,Spring 2021
PH12942,HDI,UD_JAVA,UD,209,1,ph,43,Summer 2020
PH12942,HDI,UD_JAVA,UD,209,2,ph,44,Fall 2020
PH12942,HDI,UD_JAVA,UD,209,3,ph,45,Spring 2021
PH12949,HDI,MOB_MOBILE,MOB_MOBILE,210,1,ph,43,Summer 2020
PH12949,HDI,MOB_MOBILE,MOB_MOBILE,210,2,ph,44,Fall 2020
PH12949,HDI,MOB_MOBILE,MOB_MOBILE,210,3,ph,45,Spring 2021
PH12955,HDI,MOB_MOBILE,MOB_MOBILE,210,1,ph,43,Summer 2020
PH12955,HDI,MOB_MOBILE,MOB_MOBILE,210,2,ph,44,Fall 2020
PH12955,HDI,MOB_MOBILE,MOB_MOBILE,210,3,ph,45,Spring 2021
PH12957,HDI,WEB_BACK,WEB,213,1,ph,43,Summer 2020
PH12957,HDI,WEB_BACK,WEB,213,2,ph,44,Fall 2020
